column name,most common value,frequency,percentage
originalTitle,Episode #1.1,532,0.35577906922310426
rating,"(7, 8]",48555,32.47152764309742
startYear,2019,4505,3.012753208364821
endYear,2022.0,241,0.16117059338866188
runtimeMinutes,30.0,7306,4.885943382977443
awardWins,0,137190,91.74686185473246
numVotes,7,5575,3.728323892704523
totalImages,1,48957,32.74036821796149
totalVideos,0,137573,92.00299603426714
totalCredits,10,2470,1.6518313928215553
criticReviewsTotal,0,112179,75.02056429770415
titleType,tvEpisode,70830,47.36810427269262
awardNominationsExcludeWins,0,135855,90.85407039343012
canHaveEpisodes,False,138704,92.7593609351907
isAdult,0,146798,98.17228534551364
numRegions,1,64055,42.83727120128937
userReviewsTotal,0,94378,63.11600938935739
ratingCount,7,5565,3.721636316215367
countryOfOrigin,['US'],44728,29.912192120697377
genres,['Comedy'],12986,8.684486828818104
castNumber,0,9746,6.517712046331529
companiesNumber,2,27064,18.099257010252053
averageRating,7.2,5735,3.83532511653102
regions,['US'],31354,20.96822732410002
externalLinks,0,66478,44.45767098461189
writerCredits,0,39591,26.476784078217896
directorsCredits,1,104881,70.13997097591805
soundMixes,['mono'],22813,15.2563682447118
quotesTotal,0,128830,86.15604790979798
