soundMixes,count
mono,23455
stereo,18117
dolby_digital,5300
silent,3307
dolby,2332
dolby_sr,625
dts,421
dolby_stereo,339
dolby_atmos,296
ultra_stereo,238
sdds,237
dolby_surround 7.1,152
d_cinema_48khz 5.1,137
datasat,52
imax_6_track,35
4_track_stereo,31
auro_11.1,29
12_track_digital sound,26
dts_stereo,24
dolby_digital ex,24
6_track_stereo,21
70_mm 6_track,20
dolby_surround 5.1,10
sonics_ddp,10
dts_es,9
dts:x,9
perspecta_stereo,9
d_cinema_96khz 5.1,9
matrix_surround,7
cinephone,7
b.a.f._sound system,5
dx_stereo,5
de_forest phonofilm,4
d_cinema_48khz 7.1,4
3_channel stereo,4
d_cinema_96khz 7.1,3
chronophone,3
vitaphone,3
dts_70 mm,3
cinerama_7_track,3
magnaphone_western electric,3
cinesound,3
sonix,3
sound_trax surround stereo,2
sensurround,2
wicmar_and blue seal noiseless recording,2
servotron_stereo,2
d_cinema_48khz dolby surround 7.1,2
d_cinema_96khz dolby surround 7.1,1
aga_sound system,1
klangfilm_magnetocord,1
afifa_ton_kopie,1
chace_surround,1
soundelux,1
iwerks_digital audio,1
blue_seal noiseless recording,1
optiphone,1
animatophone,1
kinopanorama_9_track,1
phono_cinema-theatre,1
digitrac_digital audio system,1
lc_concept_digital sound,1
sound_360°,1
