Column,Precision,Recall,Train_Percentage,Test_Percentage
originCaribbean,0.0,0.0,0.0017350286008620923,0.0021190461129736225
originMelanesia,0.0,0.0,0.0,6.325510784995888e-05
originSouthAmerica,0.6764705882352942,0.09078947368421053,0.023029793694255427,0.024036940982984378
originPolynesia,0.0,0.0,1.3554910944235096e-05,0.0
originWesternAfrica,0.0,0.0,0.0012199419849811587,0.0016762603580239104
originNorthernEurope,0.6459259259259259,0.40018357044515834,0.14013066934150242,0.13783288000506042
originCentralAmerica,0.7831325301204819,0.13457556935817805,0.015479708298316481,0.01527610854576507
originEasternAsia,0.738158594997339,0.6129032258064516,0.072071461490498,0.07157315453222848
originMiddleAfrica,0.0,0.0,0.00028465312982893704,0.00028464798532481497
originWesternEurope,0.5808005930318755,0.43287292817679557,0.11316995147341882,0.11449174520842557
originNorthernAfrica,0.5357142857142857,0.08875739644970414,0.0051102014259766316,0.0053450566133215255
originAustraliaandNewZealand,0.921875,0.25726744186046513,0.02189118117493968,0.021759757100385857
originSouthernAfrica,1.0,0.02857142857142857,0.002656762545070079,0.002213928774748561
originEasternEurope,0.603448275862069,0.38843457943925236,0.05042426871255456,0.0541463723195648
originNorthernAmerica,0.7820827704777109,0.8543161848547857,0.4715889066608832,0.4715352014675185
originEasternAfrica,0.0,0.0,0.0007455201019329303,0.0003479030931747739
originSouthernAsia,0.5728429985855729,0.5831533477321814,0.044053460568764066,0.04393067240179645
originSouthernEurope,0.5676056338028169,0.19970267591674926,0.06469758993683411,0.06382440382060851
originMicronesia,0.0,0.0,0.0,3.162755392497944e-05
originSouth-easternAsia,0.8,0.14883720930232558,0.012673841732859814,0.01359984818774116
originCentralAsia,0.0,0.0,0.00033887277360587743,0.0005376684167246505
originWesternAsia,0.6694915254237288,0.1408199643493761,0.01877355165776561,0.01774305775191347
